Date,Title,Excerpt,Category
19-11-2019,Chelsea Become Club World Champions as Late Havertz Penalty Ends Palmeiras’ Resistance,"Once again, Kai Havertz was the match-winner. On Saturday evening in Abu Dhabi, the man who scored the only goal",sports
13-09-2022,"Elon Musk Questions Accuracy of Covid-19 Tests, Says He ‘Most Likely’ Has Moderate Case","Tesla Inc Chief Executive Officer Elon Musk said on Saturday he “most likely” has a moderate case of Covid-19, as",health
13-09-2022,Covid: Nigeria Approves $14m for 37 Oxygen Plants,Nigeria’s Federal Executive Council (FEC) on Wednesday approved the establishment of an oxygen production plant in each of the 36,health
25-07-2019,Nigeria’s Presidential Options: The Die is Cast,"A few weeks from now, two of these men – one each from the two main political parties – would",politics
17-11-2020,Bamidele: I’ll Challenge Ekiti APC Governorship Primary,"The Chairman, Southern Senators' Forum and one of the All Progressives Congress (APC) governorship aspirants in Ekiti State, Senator Opeyemi",politics
27-07-2021,"Nigerian Ministers Nwajiuba, Onu, Akpabio Resign Following Buhari’s Directive to Appointees with Political Ambitions","Nigeria's Minister of State for Education, Emeka Nwajiuba; Minister of Science, Technology and Innovations, Dr. Ogbonnaya Onu; and Minister of",politics
22-06-2021,Canada Authorizes Pfizer Vaccine for Children Aged 12 And Older,"Canada’s health regulator has authorized Pfizer’s COVID-19 vaccine for ages 12 and older. Dr. Supriya Sharma, chief medical adviser at",health
27-09-2021,Zambian Opposition Leader Hichilema Wins By Landslide in Presidential Vote,Zambian opposition leader Hakainde Hichilema secured a shock landslide victory in the nation’s presidential election. Electoral Commission of Zambia Chairman,politics
31-07-2022,"Nigeria: APC, PDP Senators Rally to Pass e-Transmission of Election Results","The controversial clause on the electronic transmission of election results as contained in the 2010 Electoral Act (Amendment) Bill 2021,",politics
06-09-2019,Credit Suisse Faces Money Laundering Charges in Trial of Bulgarian Cocaine Traffickers,Credit Suisse will face charges in a Swiss court on Monday of allowing an alleged Bulgarian cocaine trafficking gang to,business
05-02-2021,"PDP Primary Is Past, Atiku Now My Candidate, Says Benue Governor Ortom","Meanwhile, Atiku has continued to reach out to some of his old political associates in the ruling All Progressives Congress",politics
09-01-2020,Chelsea Set to Replace Lampard with Tuchel,"Chelsea will replace Frank Lampard with Thomas Tuchel, Raphael Honigstein can reveal. Lampard will lose his job as Chelsea manager",sports
07-04-2021,Joshua Commends Usyk for ‘Jumping in at the Deep End’ with Heavyweight Title Bid,"Anthony Joshua has commended Oleksandr Usyk for ""jumping in at the deep end"" with his world heavyweight title tilt after",sports
22-11-2021,Stakeholders Hail Reappointment of Bala-Usman as Nigeria Ports Boss,Stakeholders in Nigeria’s maritime industry have hailed the reappointment of Ms. Hadiza Bala-Usman as Managing Director of the Nigerian Ports,business
25-05-2022,"Peloton Reverses Course, Decides to Recall Treadmills after Injuries, Death","Peloton announced a recall of its treadmills on Wednesday, reversing course just weeks after saying there was “no reason” to",business
20-01-2019,"DMX, Rapper and Actor, Dies at 50","DMX, a rapper known as much for his troubles as his music, has died, his family announced in a statement.",entertainment
11-05-2020,FA Cup: Werner Scores as Chelsea Pummel Morecambe 4-0,"Last season's FA Cup runners-up Chelsea returned to winning ways, comfortably beating League Two Morecambe to reach the fourth round",sports
22-08-2019,"‘Tabloid Racism’ Large Part of Why We Left UK, Prince Harry Says",The Duke of Sussex has said racism from the tabloid press that filtered into the rest of society was a,entertainment
26-04-2022,Ant Group IPO Set for Further Delay as Jack Ma Plans to Give Up Control,"Ma’s retreat comes after Beijing derailed Ant’s blockbuster IPO almost two years ago, and demanded the group restructure.Read more",business
13-07-2020,Nigeria Civil Aviation Approves Commercial Flight Operations at Bayelsa Airport,"After months of expectation, the Bayelsa State Government-owned airport finally received the nod of the Nigerian Civil Aviation Authority (NCAA)",business
09-01-2019,"With 50% Increase, Oil Price Records Biggest Annual Gain Since 2009","Oil prices fell at the weekend but still posted the biggest annual gains since 2009, spurred by the global economic",business
11-03-2020,"Teenager Swiatek Wins French Open, Becomes Lowest-ranked Woman to Triumph at Roland Garros",Polish teenager Iga Swiatek completed a stunning rise by becoming the lowest-ranked woman to win the French Open after beating,sports
02-05-2019,China Limits Children to 3 Hours of Online Gaming a Week,"China is banning children from playing online games for more than three hours a week, the harshest restriction so far",tech
27-12-2022,"UK Minister Visits Nigeria to Support Businesses, Strengthen Economic Partnership","The United Kingdom’s Minister for Africa, Latin America & Caribbean, Vicky Ford, will be visiting Nigeria for the first time",business
22-03-2019,Twitter Adopts ‘Poison Pill’ Plan to Block Elon Musk From Increasing Stake,"Twitter Inc. moved to prevent Elon Musk from significantly increasing his stake, a day after he unveiled a $43 billion",tech
20-11-2022,Randy Waldrum Appointed Super Falcons’ Head Coach,The Nigeria Football Federation has announced the appointment of Randy Waldrum as the new Head Coach of the senior women,sports
19-01-2021,"Nigeria: Petrol to Remain at N165 Per Litre, Says Regulator",Despite the position of some oil marketers that the current pump price for petrol in Nigeria is unsustainable following long,business
06-05-2020,Pop Smoke’s ‘Shoot for the Stars Aim for the Moon’ Goes 2X Platinum in Less Than Five Months,It’s another bittersweet victory for Pop Smoke. The fallen Brooklyn rapper’s Shoot For The Stars Aim For The Moon debut,entertainment
13-03-2020,"Nigeria: Confusion in APC Over Zoning of Chairmanship, Buni’s Ambition","Ahead of its National Convention on February 26, there is confusion in the ruling All Progressives Congress (APC) over the",politics
27-02-2020,Microsoft Cloud Business Drives Quarterly Results as Pandemic Boosts Growth,"Microsoft’s cloud computing business slightly re-accelerated and its Teams messaging and collaboration software won new users, as a pandemic-driven shift",business
24-07-2022,"Nigeria Records 32 Deaths, 170 Cases of Lassa Fever in Three Weeks","At least 32 people have died of Lassa fever since the beginning of the New Year, according to data from",health
16-02-2020,UK-Funded African Initiative Invests £60m in 360 Renewable Energy Projects,"The Innovate UK KTN, Global Alliance Africa Project, a United Kingdom-funded knowledge-based programme set up to provide solutions to Africa's",business
23-02-2021,Rio Lawmakers Rename Iconic Maracana Stadium after Pele,"Rio de Janeiro's state legislators on Monday renamed the world-famous Maracanã stadium after Brazilian football legend, Pelé. The officials voted",sports
01-09-2020,AFCON: Guinea-Bissau Miss Late Penalty in Group D Draw with Sudan,Guinea-Bissau missed a late penalty as they were held by Sudan in their Group D opener in the Africa Cup,sports
27-04-2022,"Nigeria: FIRS Lauds 20 Top Performing Tax Companies, NLPG, NNPC, Mobil Producing, Others","The Executive Chairman, Nigeria's Federal Inland Revenue Service (FIRS), Mr. Muhammad Nami, has commended 20 top-performing taxpayers whose compliances to",business
09-03-2023,Former Liverpool Manager Gerard Houllier Dies Aged 73,Former Liverpool manager Gerard Houllier has died at the age of 73. The Frenchman managed the Reds from 1998-2004 and,sports
11-02-2022,Bayern Munich 2-3 PSG: Mbappe Brace Gives Parisans Advantage in Wild Champions League Quarter-final,An enthralling Champions League quarter-final first-leg tie between Bayern Munich and Paris Saint-Germain was bookended by goals from Kylian Mbappe.,sports
25-12-2021,"Euro 2020: Ukraine Stun Sweden in Extra Time, Book Quarterfinal Clash with England in Rome",Artem Dovbyk scored a late extra-time winner as Ukraine beat 10-man Sweden 2-1 at Hampden Park in Glasgow on Tuesday,sports
29-07-2019,APC Declares Free Nomination Forms for Women Seeking Elective Office in 2023,"Ahead of the 2023 elections, the All Progressives Congress (APC) has declared free nomination forms for female aspirants who intend",politics
15-09-2021,Titan Trust Acquires Majority Stake in Union Bank,Titan Trust Bank Limited (TTB) has become the majority shareholder in Union Bank of Nigeria Plc. This followed an agreement,business
22-08-2019,"Former US President Bill Clinton Recovering from Infection in Hospital, Doctors Say","U.S. former President Bill Clinton is recovering after two days of treatment for an infection in a California hospital, his",health
28-03-2022,"Covid-19: Tanzania not Planning to Import Vaccine, Chooses Local Herbs","Reports suggest Tanzania has no plans to import Covid-19 vaccines, and will instead pin its hopes on research into “local herbs”. In an interview",health
14-11-2022,Nigeria: NAFDAC Puts Fake Medicine in Circulation at 15 per cent,"Nigeria's National Agency for Food, Drug Administration and Control (NAFDAC) has said contrary to report that 70 per cent of",health
31-03-2020,"Rivers Governor Wike Accuses Boundary Commission of Corruption, Tells Buhari to Monitor Agency","Governor Nyesom Wike of Rivers State in Nigeria's South-South has slammed the National Boundary Commission as corrupt, advising President Muhammadu",politics
19-10-2021,Nigeria: Zipline Signs MoU with Kaduna to Transport Vaccines with Drones,"An American company with specialization in medical product delivery, Zipline, has signed a memorandum of understanding with the Kaduna State",health
06-05-2019,Elon Musk Says Twitter Legal Team Told Him He Violated an NDA,Elon Musk on Saturday tweeted that Twitter Inc's legal team accused him of violating a nondisclosure agreement by revealing that,business
25-04-2021,Aubameyang Penalty Lifts Arsenal over Man United,Pierre-Emerick Aubameyang's second-half penalty gave Arsenal their first Premier League away win over Manchester United since 2006. Aubameyang ended a,sports
04-01-2022,"Nigeria’s Stock Market Shrugs Off Insecurity Worries, Gains N3.02trn in Q1","The market capitalisation of the Nigerian Exchange Limited (NGX) gained N3.02 trillion in the first quarter (Q1) of 2022, notwithstanding",business
21-07-2019,Oil Price Surges Past $70 for First Time Since Pandemic after Attack on Saudi Facilities,"Brent crude futures surged above $70 a barrel on Monday for the first time since the Covid-19 pandemic began, while",business
11-12-2022,Nigeria Governors Meet Thursday Over Distribution of Covid Vaccines,The governors of Nigeria’s 36 states of the federation will on Thursday meet to discuss modalities for the distribution of,health
12-04-2022,"DJ Khaled Releases New Album with Jay Z, Nas, Cardi B, Drake","DJ Khaled has released his 12th studio album, ‘Khaled Khaled,’ nearly two years since his last full-length project. The star-studded,",entertainment
07-05-2020,"Nigerian Magnate Otedola Says ‘No Interest’ in Holding Any Board Position in FBN Holdings, First Bank","The Chairman of Geregu Energy Group and billionaire businessman, Mr. Femi Otedola has debunked speculations that he is interested in",business
19-09-2022,Mozambique on High Alert Over Growing Covid-19 Cases,Mozambique is on high alert as the country continues to witness an increase in the number of Covid-19 cases. The,health
13-06-2022,Unvaccinated Man Denied Heart Transplant by Boston Hospital,A US hospital has rejected a patient for a heart transplant at least in part because he is not vaccinated,health
13-04-2021,Soyinka Chides Nigeria’s Parliament for Ignoring Clamour for Restructuring,"Nobel Laureate, Prof. Wole Soyinka, on Wednesday criticised the National Assembly for not concretely taking up the clamour for the",politics
23-04-2020,Lagos Governor Sanwo-Olu Renews LIRS Boss Subair’s Appointment,"Lagos State Governor, Mr. Babajide Sanwo-Olu, has approved the reappointment of Mr. Hamzat Ayodele Subair for a second and final",business
01-09-2019,Report: Nigeria’s PMI Hits 18-month High in July,"According to a report by Stanbic IBTC Bank, Nigeria’s Purchasing Managers Index (PMI) increases 55.4 in July from 53.6 in",business
13-09-2022,Nigeria’s Ex-President Jonathan Says Local Governments Will Make Money If Autonomous,"Former President Goodluck Jonathan has called for the reform and autonomy of local government areas, as they would only be",politics
12-05-2021,"Super Eagles Coach Yusuf Invites Musa, Simon, 28 Others for Mexico, Ecuador Friendlies","Super Eagles’ First Assistant Coach, Salisu Yusuf has released a list of 30 players, including captain Ahmed Musa and forward",sports
18-11-2022,"Nigeria Budgets $12m to Monitor WhatsApp, Others","Nigeria’s federal government has earmarked N4.8 billion for the National Intelligence Agency (NIA) to monitor WhatsApp, an encrypted messaging application,",tech
06-12-2022,Nigeria Qualify for 2023 Africa U20 Cup of Nations,"Nigeria’s U20 boys, Flying Eagles, on Tuesday night overpowered fit-fighting Cote d’Ivoire in an explosive semi final match to reach",sports
28-12-2019,"Amazon Gains Record $190bn in Value, One Day after Meta’s Record Plunge",A day after Facebook owner Meta Platforms (msuffered the deepest loss of stock market value in history for a U.S.,business
07-03-2023,Bidder Pays $28m for Space Trip with Amazon’s Bezos,A mystery bidder has paid $28m (£20m) for a seat on Amazon founder Jeff Bezos's first crewed spaceflight by the,business
17-04-2020,"Billionaire Nigerian Businessman, Akin-Olugbade, Dies of Covid-19","The Covid-19 pandemic on Wednesday claiming billionaire businessman and legal icon, Chief Bolu Akin-Olugbade. According to family sources, he died",health
16-11-2019,"Ex-President Bartomeu, Others Arrested as Police Raid FC Barcelona","A police operation is ongoing at Barcelona football club and several arrests have been made, a police spokesperson said. “We",sports
04-05-2019,"Japan to Eliminate Gasoline Vehicles by Mid-2030s, Boost Green Growth","Japan aims to eliminate gasoline-powered vehicles in the next 15 years, the government said on Friday in a plan to",tech
11-08-2020,Nigeria Football Boss Pinnick and Governor Okowa Set For Delta Football Summit,"Delta State Governor, Dr. Ifeanyi Okowa, Deputy Governor Kingsley Otuaro; Speaker of the State House of Assembly, Sheriff Oborevwori; President",sports
05-07-2020,Burnley 1-1 Arsenal: Xhaka Clanger Costs Gunners Amid Late Handball Drama,Granit Xhaka's clanger saw Arsenal throw away a lead as they were held to a 1-1 draw by Burnley at,sports
16-03-2020,Re-emergence of Fuel Subsidy in Nigeria Worrisome: IMF,The International Monetary Fund has expressed concern over the re-emergence of fuel subsidy in Nigeria in the face of the,business
09-12-2019,World Bank: Nigeria Must Consider Opportunity Cost of Fuel Subsidy,"The World Bank Country Director for Nigeria, Shubham Chaudhuri, has called on the Nigerian government to consider the opportunity cost",business
30-12-2019,Moderna Set to Test Coronavirus Booster Shot For South African Strain,"Drugmaker, Moderna says it has shipped doses of its variant-specific booster shot to the National Institutes of Health for clinical",health
01-04-2022,China Approves Homegrown Covid-19 Vaccine for General Use,"China has approved its first homegrown Covid-19 vaccine for general use, marking the addition of another vaccine in the global",health
12-02-2019,Rwandan President Kagame Wants To Build Africa’s First mRNA Vaccine Plant. Can He Do It?,"Sanyade Okoli, CEO of Alpha",business
21-03-2021,Heathrow Airport Introduces 20-minute Covid Test,Passengers flying from Heathrow to Hong Kong and Italy on Tuesday will be the first to have the option of,business
24-11-2020,Kenya Stops Giving First Doses of AstraZeneca Jabs,Kenya’s health ministry has advised hospitals to stop giving first doses of the AstraZeneca Covid-19 vaccines. Health Minister Mutahi Kagwe,health
22-03-2020,Man United Club Shop Runs out of No. 7s as Fans Queue for Ronaldo Shirts Despite Star Pushing for Exit,"His popularity remains sky-high, with fans queueing to get his name on the back of their replica jerseys.Read more",sports
26-06-2020,Nigeria’s Public Debt Climbs by N2.04trn in Q1 to N41.6trn,"Nigeria’s total public debt stock, comprising the debt obligations of the federal government, states and the Federal Capital Territory (FCT)",business
25-04-2021,Otedola: How IBB Asked Jonathan to Sit on Yar’Adua’s Chair in 2010,"Billionaire businessman Femi Otedola has revealed how ex-Nigerian military president Ibrahim Babangida asked then vice president Goodluck Jonathan to ""sit",politics
14-07-2020,Griezmann: Barcelona’s Defeat by Juve Wake-up Call,Barcelona forward Antoine Griezmann believes his side's 3-0 defeat by Juventus in the Champions League could be just what his,sports
27-01-2020,"Fury Ordered to Fight Wilder Again, Proposed August Fight with Joshua in Doubt","Tyson Fury has been ordered to fight Deontay Wilder for a third time, casting doubt over a proposed August super",sports
07-05-2019,Nigeria Senate Prevails on Abaribe to Withdraw Bill Establishing Armed Forces Commission,There was palpable tension in the Nigerian Senate following a controversial ruling by the Senate President Ahmad Lawan on a bill that,politics
27-08-2020,"Sepp Blatter, Michel Platini Face 20-Month Suspended Jail Sentences in FIFA Fraud Trial",Prosecutors in the fraud trial of former FIFA president Sepp Blatter and vice president Michel Platini asked Wednesday for both,sports
23-06-2020,Novak Djokovic on Australian Open Entry List Despite Vaccine Uncertainty,"World number one Novak Djokovic has been entered into the Australian Open despite uncertainty over his Covid vaccination status, while",sports
06-11-2019,Man United to Play Europa League in 2021 After Crashing Out of Champions League at Leipzig,Manchester United's season suffered a huge blow as a defeat at German side RB Leipzig knocked them out of the,sports
02-12-2020,UK PM Johnson Faces Plot to Trigger Leadership Challenge,British Prime Minister Boris Johnson was on Wednesday fighting to shore up his premiership after a revolt by his own,politics
09-12-2020,Nigeria; Senate President Lawan Cautions Regional Leaders Against Dictatorship,"Nigeria Senate President, Senator Ahmed Lawan has advised political leaders in West Africa to desist from dictatorship and allow for",politics
22-07-2022,"AstraZeneca May Have Used Outdated Info in Vaccine Trial, US Health Officials Say","Results from a US trial of AstraZeneca’s COVID-19 vaccine may have used “outdated information,” US federal health officials have said.",health
20-11-2022,Abdullahi Gets Nigeria Call to Replace Injured Onyeka Ahead of Sierra Leone Games,Nigeria coach Gernot Rohr has invited Shehu Abdullahi to replace injured Midtjylland midfielder Frank Onyeka for their 2022 Africa Cup,sports
19-02-2021,Man United Striker Martial Tells Club He Wants to Leave,"French striker Anthony Martial has told Manchester United interim manager Ralf Rangnick he wants to leave. Rangnick said he ""spoke",sports
08-10-2022,Tokyo Olympics: North Korea to Skip Games Over Covid-19 Fears,"North Korea has announced it will not take part in the Tokyo Olympics this year, saying the decision is to",sports
31-05-2020,Ghana Declares First-Ever Outbreak of Marburg Virus Disease,Marburg is a highly infectious viral haemorrhagic fever in the same family as the more well-known Ebola virus disease.Read more,health
02-02-2020,"US Open: Focus on History-Chasing Djokovic as Federer, Nadal Missing",Serbian top seed Novak Djokovic will be the centre of attention as he bids to win a historic 21st Grand,sports
09-07-2019,"Davido’s ‘A Better Time’ Thrills Fans, Reignites ‘Best Nigerian Artist’ Debate",Nigerian popstar Davido has released his highly-anticipated third studio album ‘A Better Time’ to the elation of his fans and,entertainment
11-06-2021,"Money Laundering: ICPC Probes Completed, Unoccupied Housing Estates in Abuja, Lagos, Port Harcourt","The Independent Corrupt Practices and Other Related Offences Commission (ICPC), on Monday, revealed that it had commenced investigation into completed",business
20-01-2021,Twitter Reverts to Old Retweet Function after US Election,Twitter Inc is reversing changes made to its retweet function intended to curb the spread of misinformation during the US,tech
14-03-2021,Official Memorial Services for Rapper DMX Have Been Announced,The official memorial services for legendary rapper and actor Earl “DMX” Simmons have been announced. There will be two memorial,entertainment
27-02-2023,Tokyo Olympics President to Step Down Over Sexist Remarks,"Japan’s Kyodo news agency and others reported on Thursday — citing unnamed sources — that Yoshiro Mori, President of the",sports
27-11-2019,"Jupiter, Saturn To See Closest Alignment in 400 Years","Jupiter and Saturn will merge in the night sky on Monday, appearing closer to one another than they have since",tech
31-12-2022,OPEC Sec-Gen Barkindo Says Declining Investments in Oil Sector May Spur Market Volatility,"The Secretary General of the Organisation of Petroleum Exporting Countries (OPEC), Dr. Sanusi Barkindo, on Tuesday warned that lack of",business
03-01-2021,Kamaru Usman Clinches Record Thirteenth-straight UFC Welterweight Win,Kamaru Usman retained his welterweight title by winning his 13th successive UFC bout on Saturday night in Las Vegas. The,sports
16-06-2022,Seven-Time Formula One Champion Hamilton Receives Knighthood,"Britain’s seven-time Formula One champion Lewis Hamilton received a knighthood for services to motorsport on Wednesday, days after losing out",sports
10-03-2020,"I Acted in First Bank’s Interest, Sacked Chairman Awosika Says","The sacked Chairman of First Bank Nigeria Limited, Mrs. Ibukun Awosika, has said she acted in truth and honesty in",business
09-07-2019,"#EndSARS: Lewis Hamilton, Kerry Washington Speak Out Against Police Brutality in Nigeria, Davido Condemns Violence","Lewis Hamilton, Kerry Washington and Bernice King are the latest international stars and notable figures to lend their voices to",sports
04-06-2019,Nigeria: Shell to Pay $110 Million to End 30-Year Ogoni Oil Spill Case,"Shell Petroleum Development Company of Nigeria (SPDC), has finally agreed to pay compensation for oil spillages in the Ogoni community",business
24-11-2022,"Chelsea 2-0 Everton: Havertz, Jorginho Boost Blues’ Top Four Hopes",Thomas Tuchel got the better of Carlo Ancelotti as Chelsea edged out Everton 2-0 in Monday night’s Premier League top,sports
06-06-2020,WHO Expresses Concern Over Ebola Resurgence in West Africa,The World Health Organization (WHO) has expressed concern over the resurgence of Ebola in West Africa and activated response efforts.,health
08-06-2022,Nigeria Backs Global Efforts Against Marine Plastic Pollution,President Muhammadu Buhari has pledged Nigeria's commitment to an international legally binding instrument to reduce the menace of marine plastic,health
11-09-2021,Zidane in ‘Serious Danger’ as Real Madrid Crisis Deepens,Kyiv's Olympic Stadium was the scene of Zinedine Zidane's last stand as Real Madrid coach before resigning in stunning fashion,sports
28-02-2022,"Tokyo 2020: Simone Biles Pulls Out of Gymnastics Team Final, Wants to ‘Focus on Mental Health’","Four-time Olympic gold medallist Simone Biles has pulled out of the women's gymnastics team final saying she ""have to focus",sports
07-04-2021,China Warns Taiwan Independence ‘Means War’ as US Pledges Support,"China has in a strong statement warned that attempts by Taiwan to seek independence from Beijing ""means war"". The warning",politics
18-08-2019,Fifteen Asian-Pacific Countries Sign World’s Biggest Trade Deal,"Fifteen countries have formed the world's largest trading bloc, covering nearly a third of the global economy. The Regional Comprehensive",business
02-09-2021,Fintech Startup TeamApt Now Operates Nigeria’s Largest Non-bank Mobile Money Platform,"Moniepoint, the mobile money platform launched last year by Nigerian fintech startup TeamApt, has become the largest non-bank mobile money",business
11-01-2023,Immunised But Banned: EU Says Not All Covid Vaccines Equal,"After Dr. Ifeanyi Nsofor and his wife received two doses of AstraZeneca's coronavirus vaccine in Nigeria, they assumed they would",health
02-09-2022,Former New York Governor Cuomo Charged with Misdemeanor Sex Offence,A criminal complaint charging former New York Governor Andrew Cuomo with a misdemeanor sex offense was filed on Thursday in,politics
13-11-2022,Serena Williams Makes Winning Return to Tennis with Doubles Victory Ahead of Wimbledon,Serena Williams made a winning return to action at the Eastbourne International on Tuesday as she and partner Ons Jabeur,sports
20-01-2022,"Nigeria: APC May Opt for Consensus Candidate for Presidency, Kebbi Governor Bagudu Says","Chairman of Nigeria's Progressives Governors Forum (PGF), and Kebbi State governor, Atiku Bagudu, on Monday said the All Progressive Congress",politics
06-06-2020,Porto 2 Juventus 1: Ronaldo and Co Fall to First Leg Loss in Portugal,Porto stunned Juventus by punishing a huge error to score after 63 seconds of Wednesday's Champions League tie. The Serie,sports
07-11-2020,20-Year Lifespan Solar Energy Makes Entry into Nigeria,"Infrastructural challenges facing rural communities in Nigeria should ease, as solar energy system with a 20-year lifespan arrives in the",tech
17-12-2021,The Weeknd Gets Annual Holiday in Canada for Super Bowl Performance,"In honour of his halftime Super Bowl show, Toronto mayor John Tory announced the city's decision to enshrine Feb. 7",entertainment
17-04-2020,Mbappe Scores Hattrick as PSG Thump Barcelona 4-1 at Camp Nou,Kylian Mbappe scored a stunning hat-trick as Paris St-Germain ripped Barcelona apart in the first leg of their Champions League,sports
17-02-2019,"UK Firm Targets 70 Million Nigerians in $500m Medical, Hospitality Investment","A United Kingdom (UK) based firm, HP Kapital Limited and the FHT Ventures Plc on Tuesday in Abuja, unveiled a",health
11-10-2020,"Despite Being Banned in Nigeria, Twitter Records $1.28bn Revenue Increase In Q3 2021","Despite Twitter ban in Nigeria, the platform recorded $1.28 billion in revenue for the third quarter of 2021, representing a",tech
10-11-2022,Kurz to Quit as Austrian Chancellor Amid Corruption Probe,Austrian Chancellor Sebastian Kurz said Saturday that he will step down in a bid to defuse a government crisis triggered,politics
31-03-2019,"Nigeria: PDP Sues APC and Caretaker Chairman Buni, Demands His Removal as Yobe Governor","Nigeria's opposition Peoples Democratic Party (PDP) has filed a suit before a Federal High Court in Abuja, demanding the removal",politics
09-12-2020,"Again, OPEC Cuts 2021 Oil Demand Projection","The Organisation of Petroleum Exporting Countries (OPEC), projected Thursday that world oil demand in 2021 will rebound more slowly than",business
18-07-2021,"Divestments from Oil Sector will Not End Carbon Emissions, OPEC Sec-Gen Says","Secretary-General of the Organisation of Petroleum Exporting Countries (OPEC), Dr. Mohammed Barkindo, on Monday said the current moves by countries",business
26-11-2020,Nigeria: APC Screens Presidential Aspirants May 23,"The All Progressives Congress (APC) has scheduled the screening of its 25 presidential aspirants for May 23, 2022, just as",politics
12-10-2020,White House Chief of Staff Contracts COVID-19,"White House chief of staff Mark Meadows, who has frequently appeared at public events without wearing a mask, has been",health
26-12-2021,"Presidency Shutting Me Out of Aso Rock for Being Critical of Buhari, Benue Governor Ortom Alleges","Benue State Governor, Samuel Ortom on Thursday, accused Nigeria's presidency of deliberately shutting him out of Aso Rock, and preventing",politics
01-12-2022,Man City Prevail over Arsenal in Hard-fought 1-0 Win,Stand-in skipper Raheem Sterling scored the only goal as Manchester City returned to winning ways in their Premier League clash,sports
29-08-2021,Nigeria Says N250bn Sukuk Proceeds to Form Part of 2021 Capital Funding,Nigeria's federal government has explained that proceeds of the N250 billion sovereign Sukuk issued last December by the Debt Management,business
17-06-2019,Uganda Accuses US of Subversion after Envoy Tries to Visit Bobi Wine’s House,Uganda has accused the United States of trying to subvert last week’s presidential elections after the US ambassador attempted to,politics
17-11-2020,Rapper Offset Detained By Police During His Instagram Live,"A passenger in a car driven by Migos rapper Offset was arrested for carrying a concealed, loaded firearm. The Beverly",entertainment
25-11-2021,Nigeria’s Central Bank Chief Lists Benefits of ‘Naira 4 Dollar Scheme’ for Diaspora Remittances,"Central Bank of Nigeria (CBN) Governor, Mr. Godwin Emefiele, on Saturday highlighted the benefits of the newly introduced “CBN Naira",business
09-11-2019,Vaccine 90% Effective in Major  COVID-19 Breakthrough,"A Covid-19 vaccine being developed by Pfizer has been found to be more than 90% effective in preventing the virus,",health
15-04-2019,"Amid Divorce Proceedings, Bill Gates Acknowledges Affair with Employee Which Microsoft Investigated","Bill Gates acknowledged through a spokeswoman that he had an extramarital affair with a Microsoft employee, which Microsoft said led",business
14-12-2020,New York Assembly Prepares to Impeach Governor Cuomo If He Doesn’t Resign,A majority of state Assembly members support beginning impeachment proceedings against Gov. Andrew Cuomo if he doesn't resign over investigative,politics
29-12-2022,Chemutai Becomes First Ugandan Woman to Win Olympic Medal,Peruth Chemutai became the first Ugandan woman ever to win an Olympic medal as she claimed gold in the women's,sports
07-07-2020,"Long Fuel Queues Return in Abuja, Adjoining States","After weeks of respite, following more than three months of punishing petrol scarcity nationwide, long queues have appeared in Abuja",business
23-12-2020,Telkom Launches WhatsApp-based Digital Wallet,"South Africa’s telecommunication company, Telkom, has launched a digital wallet that allows users to pay others and get paid themselves",business
06-04-2022,Ronaldo Denied Last-gasp Winner By VAR in Chaotic Draw at Udinese,Juventus superstar Cristiano Ronaldo was denied a stoppage-time winner by VAR as Udinese came from two goals down to snatch,sports
30-07-2021,Buhari Says Nigeria’s Huge Dependence on Imported Agricultural Products to End Soon,"President Muhammadu Buhari inaugurated the $2.5 billion Dangote fertiliser plant on Monday in Lagos, with an assurance that the country",business
12-07-2021,"Nigeria: Northern Caucus Considers Consensus as Mark, Lamido Shoot Ahead In PDP Chairman Race","As the race for the position of the National Chairman of the Peoples Democratic Party (PDP) gathers momentum, northern leaders",politics
10-11-2021,Hundreds of Colleagues Back Google Expert ‘Fired Over Email’,"Hundreds of Google employees are rallying behind an Ethiopian-born AI expert who they allege has been subjected to ""racism, gaslighting, censorship"" and ""a",tech
30-06-2019,Nigeria Lost $1bn to Crude Oil Theft in Q1 2022,"The Chief Executive Officer of the Nigerian Upstream Petroleum Regulatory Commission (NUPRC), Mr. Gbenga Komolafe, has said Nigeria lost about",business
11-04-2022,Czech Coach Contracts Covid Ahead of Clash with Scotland,Czech coach Jaroslav Silhavy will once again miss his team's Nations League clash with Scotland as he has tested positive,sports
30-08-2019,"Desperate to Stave Off Mass Defection, Buhari Meets 22 Aggrieved APC Senators","President Muhammadu Buhari, on Tuesday, met with 22 angry senators of the ruling All Progressives Congress (APC) in an attempt",politics
08-02-2020,"Nigeria: There’s Much to Be Done,  Little Time to Waste in Wresting Power from APC, Atiku Urges","Former Nigeria vice president, Atiku Abubakar on Thursday received his certificate of return as the presidential candidate of the Peoples",politics
21-10-2020,"Pinnick Commends Eagles’ Endeavour Despite AFCON Ouster, Shifts Focus to World Cup Play-Off with Ghana","President of the Nigeria Football Federation, Mr Amaju Melvin Pinnick on Sunday commended the efforts of the Super Eagles despite",sports
27-02-2022,Jamie Vardy’s Equaliser Ends Man. United Superb Run of Away Wins in Boxing Day Cracker,Manchester United’s remarkable run of away victories came to an end as they missed the chance to go second in,sports
